ID_TARIFA,RAZON_SOCIAL,NOMBRE_COMERCIAL,DEPARTAMENTO,NOMBRE_TARIFA_PLAN,TARIFA_NORMAL,TARIFA_REDUCIDA,TARIFA_SUPER_REDUCIDA,SMS_LIBRES,RED_DESTINO,TARIFA_SMS_ADICIONAL,MB_DISPONIBLES,ORIGEN_LLAMADA,PRECIO_MENSUAL,PRECIO_MB_ADICIONAL,DENOMINACION_TECNOLOGIA,TIPO_PAGO,OTROS_BENEFICIOS
7401,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,XSMALL  SIMPLE ,1.10,0.66,0,0,,0.20,0,,50,0.02,,,
12984,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,EMPRESA 500 PLUS,0.65,0.65,0.65,0,,0.20,27000,,500,0.03,,,
12551,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,CUENTA CONTROLADA 140,0.89,0.67,0.67,0,,0.20,0,,140,0.029,,,
11635,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,WOW MAX,1,1,1,1000,,0.20,ilimitados,,249,0,,,
13236,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,MEGA PLAN 339,0.80,0.80,0.80,ILIMITADO,,0.20,ILIMITADO,,339,0.03,,,
9797,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,NEGOCIO PLUS 175,0.88,0.88,0.88,200,,0.20,5000,,175,0.03,,,
7393,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,XLARGE  CORPORATIVO EXACTO ,0.60,0.50,0,5,,0.20,0,,35,0.02,,,
12512,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,POSTPAGO FACIL 75,1.20,0.67,0.67,0,,0.20,0,,75,0.029,,,
13753,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,FF SMART 600,0.80,0.80,0.80,NA,,0.20,Ilimitado,,600,0.03,,,
8141,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,A TU MEDIDA   PLAN M,1,1,1,0,,0.20,4000,,250,0.029,,,
11148,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,MEGA PLAN 145,0.80,0.80,0.80,iLIMITADO,,0.20,6000,,145,0.03,,,
11817,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,MEGA INTELIGENTE 80   PARAMOUNT    ,1.30,1.30,1.30,10,,0.20,1100,,109,0.029,,,
10917,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,SIMPLE ILIMITADO 100,0.75,0.54,0.40,100,,0.20,3072,,100,0.02,,,
12965,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,BOLSA NEGOCIO,0.60,0.60,0.60,0,,0.20,0,,4999,0.0096,,,
5251,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,PREPAGO SOLIDARIO,0.50,0.37,0.25,0,,0.12,0,,,0.008,,,
12471,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,BOLSA NEGOCIO,"0,60","0,60","0,60",0,,0.20,0,,4.999,0.0096,,,
12976,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,EMPRESA 500,0.65,0.65,0.65,0,,0.20,27000,,500,0.03,,,
