ID_TARIFA,RAZON_SOCIAL,NOMBRE_COMERCIAL,DEPARTAMENTO,DESCRIPCION,CATEGORIA,MINUTOS_PULSOS_FIJOS,MINUTOS_PULSOS_UNIDAD,MINUTOS_PULSOS_MOVILES,TARIFA_NORMAL,TARIFA_REDUCIDA,TARIFA_SUPER_REDUCIDA,COSTO_INSTALACION,TIPO_PAGO,OTROS_BENEFICIOS,NOMBRE_TARIFA_PLAN,ANCHO_BANDA_BAJADA,PRECIO_MENSUAL,ANCHO_BANDA_SUBIDA,DENOMINACION_TECNOLOGIA
5986,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,La Paz,,fija,42,0.0,0.0,0.21,0.15,0.11,200,POSTPAGO,,LE FTTH MINUTO,,70,,CABLE
5986,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Cochabamba,,fija,42,0.0,0.0,0.21,0.15,0.11,200,POSTPAGO,,LE FTTH MINUTO,,70,,CABLE
5986,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Santa Cruz,,fija,42,0.0,0.0,0.21,0.15,0.11,200,POSTPAGO,,LE FTTH MINUTO,,70,,CABLE
5986,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Oruro,,fija,42,0.0,0.0,0.21,0.15,0.11,200,POSTPAGO,,LE FTTH MINUTO,,70,,CABLE
5986,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Tarija,,fija,42,0.0,0.0,0.21,0.15,0.11,200,POSTPAGO,,LE FTTH MINUTO,,70,,CABLE
5986,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Potosi,,fija,42,0.0,0.0,0.21,0.15,0.11,200,POSTPAGO,,LE FTTH MINUTO,,70,,CABLE
5986,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Chuquisaca,,fija,42,0.0,0.0,0.21,0.15,0.11,200,POSTPAGO,,LE FTTH MINUTO,,70,,CABLE
5986,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Beni,,fija,42,0.0,0.0,0.21,0.15,0.11,200,POSTPAGO,,LE FTTH MINUTO,,70,,CABLE
5986,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Pando,,fija,42,0.0,0.0,0.21,0.15,0.11,200,POSTPAGO,,LE FTTH MINUTO,,70,,CABLE
5919,COOPERATIVA DE TELECOMUNICACIONES SANTA CRUZ,COTAS R.L.,Santa Cruz,,socios,200,0.00,0.00,0.50,0.37,0.25,185,POSTPAGO,,PLAN GEMELA LINE NET XS,,65.9,,CABLE
5987,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,La Paz,,FIJA,20,0,0,0,0,0,200,POSTPAGO,,LE FTTH PULSO,,70,,CABLE
5987,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Cochabamba,,FIJA,20,0,0,0,0,0,200,POSTPAGO,,LE FTTH PULSO,,70,,CABLE
5987,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Santa Cruz,,FIJA,20,0,0,0,0,0,200,POSTPAGO,,LE FTTH PULSO,,70,,CABLE
